neutro,otimismo,aprovação,aborrecimento,realização,desaprovação,desejo,decepção,admiração,zelo,diversão,confusão,raiva,nojo,alegria,entusiasmo,curiosidade,alívio,surpresa,tristeza,constrangimento,orgulho,nervosismo,medo,amor,gratidão,luto,remorso
0.399084597826004,0.3113987445831299,0.1267051249742508,0.0280144959688186,0.0235736295580863,0.0203625336289405,0.0190526917576789,0.0109046883881092,0.009778294712305,0.0072715100832283,0.0070989578962326,0.006270810496062,0.0045244568027555,0.0037709530442953,0.0029243086464703,0.0025429585948586,0.0020833213347941,0.0018363991985097,0.0017934340285137,0.0017888629809021,0.0016179194208234,0.0013685093726962,0.0013598046498373,0.0012689505238085,0.0010448443936184,0.0009881205623969,0.0009388917824253,0.0006322280387394
0.7443854212760925,0.0061908597126603,0.174013003706932,0.0140562802553176,0.0106312651187181,0.0176827255636453,0.003819749224931,0.002286531496793,0.0030771151650696,0.0016697549726814,0.0011736003216356,0.0043467050418257,0.0038156148511916,0.0011981526622548,0.0013460867339745,0.0011453151237219,0.0014899716479703,0.000607949856203,0.0005840499070473,0.0007145761628635,0.0005631363601423,0.0011139308335259,0.0003874115063808,0.0007559339283034,0.0013403454795479,0.0006245808908715,0.0006393732037395,0.0003405625466257
0.1245310753583908,0.0066123423166573,0.004238627385348,0.3686970770359039,0.0157730244100093,0.0260659307241439,0.0058776144869625,0.0307684764266014,0.0051186489872634,0.0022935345768928,0.0153055507689714,0.0038399316836148,0.1792451292276382,0.0155594646930694,0.002674862742424,0.0138924606144428,0.007561249192804,0.0025414829142391,0.1301916986703872,0.0067651895806193,0.0125451600179076,0.0023581942077726,0.0053680497221648,0.0024057067930698,0.0015160026960074,0.001833931193687,0.0051993802189826,0.0012201706413179
0.2125869989395141,0.0082171661779284,0.0110161369666457,0.1382004171609878,0.0083324378356337,0.0341322012245655,0.0106363780796527,0.011897649616003,0.0137142064049839,0.0053981905803084,0.0023373384028673,0.0679652765393257,0.0456070564687252,0.0032285335473716,0.0044709951616823,0.0052294768393039,0.3780776560306549,0.0028542650397866,0.0179227143526077,0.0016901759663596,0.0016716936370357,0.0017331088893115,0.0013372414978221,0.0011242417385801,0.001530067063868,0.0051182643510401,0.0027113030664622,0.0012588166864588
0.0622441843152046,0.0015714678447693,0.0091211283579468,0.4679480493068695,0.0043107564561069,0.0477841347455978,0.0013530572177842,0.0107172401621937,0.0026777849998325,0.0034069404937326,0.0070467465557157,0.0014674863778054,0.3362491726875305,0.0213915165513753,0.0024523388128727,0.0007363139884546,0.0012454858515411,0.0005680696340277,0.001359099172987,0.0037957380991429,0.0027420555707067,0.0013028974644839,0.0013240538537502,0.0017771460115909,0.0020208780188113,0.0009218556224368,0.0018161488696932,0.00064826750895
0.075119748711586,0.617219865322113,0.0109746800735592,0.0518552251160144,0.0125117488205432,0.0184933096170425,0.0392394475638866,0.032470304518938,0.002371851587668,0.0171087570488452,0.0033381292596459,0.0053331330418586,0.0174115393310785,0.0144520942121744,0.0017121497076004,0.0028041268233209,0.0045483293943107,0.0014910034369677,0.0043434938415884,0.0232071839272975,0.004171141423285,0.0013111792504787,0.0075506577268242,0.0111060636118054,0.0027265211101621,0.0014585939934477,0.0129765924066305,0.0026932172477245
0.9175450801849364,0.0012885968899354,0.0043678898364305,0.0221051163971424,0.0016886754892766,0.0017233099788427,0.0031544941011816,0.0017162745352834,0.0013102262746542,0.0024839234538376,0.0020278072915971,0.0006236925255507,0.0224675349891185,0.0013669027248397,0.0032966521102935,0.0045458995737135,0.001358916866593,0.0005594419199042,0.0008704926003701,0.0006671062437817,0.0007370379171334,0.0004702267760876,0.0005456697545014,0.0005584690370596,0.0015645700041204,0.0002577803388703,0.0005285542574711,0.000169694510987
0.0250288993120193,0.0037423586472868,0.0737131014466285,0.0030285683460533,0.0141541128978133,0.0021896518301218,0.0023725011851638,0.0016442080959677,0.7282729744911194,0.0016839602030813,0.0774118825793266,0.0018763625994324,0.0011852603638544,0.002416776260361,0.0162307601422071,0.0067151114344596,0.0017059157835319,0.0010959525825455,0.0044351634569466,0.0015927214408293,0.0021646020468324,0.0024931363295763,0.0005360755021683,0.0014351269928738,0.0210619550198316,0.0006159250624477,0.0006132774869911,0.0005836635828018
0.6121677160263062,0.0122684277594089,0.1191260516643524,0.0884842798113823,0.0163076892495155,0.017236003652215,0.0061034373939037,0.010608454234898,0.0071588261052966,0.0305565278977155,0.0014595475513488,0.0009148914250545,0.0304914452135562,0.0152247762307524,0.0025603915564715,0.0016494035953655,0.0010819568997249,0.0011539899278432,0.0008007505675777,0.0052069048397243,0.0034983253572136,0.0013178577646613,0.0019802809692919,0.0069436486810445,0.0013762167654931,0.0007916203467175,0.0022869571112096,0.0012435173848643
0.165033608675003,0.0013475258601829,0.0025125879328697,0.0181641038507223,0.0033019802067428,0.0114354165270924,0.001210898743011,0.0038339926395565,0.0013587046414613,0.0014411559095606,0.0014110594056546,0.1992937475442886,0.0088486624881625,0.0016257555689662,0.0005919141694903,0.0006553483544848,0.5590823292732239,0.0007734045502729,0.0072505278512835,0.0013246115995571,0.0014235741691663,0.0007944591925479,0.0007464666850864,0.0011068630265071,0.0008086098241619,0.001437684171833,0.0020701084285974,0.0011148934718221
