id,text,polarity
1586027531811311616,eu já to tão puta de imaginar as merdas que esses caralho vão falar de brasileiro pobre e o povo nordestino eu juro pra você eu sinto vontade de meter paulada no sujeito só de pensar,-1.0
1581986786292953089,"Ex petista revela como Nine conseguiu entrar no Morro do Alemão: “O boné é o menor dos problemas “

https://t.co/bOIMOG9bG7",-1.0
1584186026385641473,"@user 😂😂😂😂😂😂😂😂😂😂
Vocês são tão hipócritas que se o Neymar estivesse apoiando o gatuno,estariam todos batendo palminhas.
""Se não pensam igual a mim e minha Patotinha,não prestam e de preferência que morram"".
Sei......
Morde forte a ponta do dedão de seu pé,que o ódio passa.",-1.0
1578354584028057601,"@user Vc não escolhe quem te apoia, mas escolha a quem apoia. Lula apoia Ortega, Fidel (Cuba) , Maduro, etc",-1.0
1576329252315668481,se o lula ganhar amanhã eu viro uma garrafa de vodka na boca de tanta felicidade,0.0
1577439734816968705,"COMUNISTAS NÃO ACREDITAM EM DEUS. 
Luladrão defende que brasileiro possa fazer aborto “sem ter vergonha”

Exerce o Teu domínio agora, Senhor, sobre os abortistas e os abortadores das crianças que estão por nascer! Leva-os para o julgamento diante de Deus! https://t.co/GaFHnKwK4e https://t.co/pG0AfI7SSe",-1.0
1579299146317541376,To entendendo nd dessa treta do carlinhos Maia com essa emily,0.0
1580534612912398336,@user @user @user Por que o ex-presidiário é “Pai dos Pobres”? 👇👇 https://t.co/xlma0ZO8VA,-1.0
1584150642657935361,"@user Pra mídia militante as mentiras do é retratada como exagero, erro e gafe mas nunca como um fato! A imprensa morreu!",-1.0
1577027202478411776,"Tem gente tão apressada em votar no 9 dedos, que já votaram até para o segundo turno, isso no ES.
Pode isso?
Fala pro Alexandre de Moraes. https://t.co/JFt08POHeL",-1.0
1576711249542483970,Só encerra 1 turno se tiver quantos % ein?? Sou burrraaaaa não sei ver essas coisas,0.0
1583270103583686657,@user A mulher do Lula não cansa .. 😂😂😂 vc não influencia ninguém ameba..,-1.0
1579992658147442688,@user @user Vai nada. Os votos do Garcia tendem a ir pro Tarcísio. Por que diabos o eleitor do PSDB migraria pro PT agora?,0.0
1586190045534306304,"@user Senti vergonha alheia o tempo todo... mas, Lula se deu melhor!",0.0
1584983291916341248,"@user É QUE AS EMPRESAS DE ÔNIBUS ESTÃO COM MEDO QUE SEUS VEÍCULOS SEJAM QUEIMADOS E ROUBADOS PELOS ELEITORES DO LULA! KKK

@user 22 E @user 10 EM SP",-1.0
1579314138953621505,Ex-eleitores de Bolsonaro de Bolsonaro corrupto vão votar em Lula segundo turno.,0.0
1585676158708088832,@user @user @user Cadê as maldades? Só na cabeça doente de vcs!! Tudo mentira desse doente ment4l.e os trouxas vão na conversa dele. Tenho vídeo do Janones na campanha xingando o lula de ladrao e corrupto. Como acreditar num falseano desse? Falta de neurônios ?,-1.0
1583198206220857344,"@user LULA É UM DITADOR,CENSUROU A JOVEM PAN É APOIADO POR “DEMOCRATAS”.",-1.0
1585588490460450817,"Meu voto no Lula é pura consciência de classe, empatia e um toque de agradecimento, na minha geração de vários(as) primos(as) sou uma das primeiras a conseguir entrar numa faculdade pública lá em casa é as 4 primeiras, e graças aos auxílios do governo eu não passei fome criança",1.0
